date;entity_id;entity;sector;MDS_Bank;SP_Bank;FCH_Bank;EXP_Bank;NRA_Bank;RUS_Bank;AKM_Bank
01-Jul-2015;5061;Внешэкономбанк;Банки;NaN;NaN;0;NaN;NaN;NaN;NaN
01-Jul-2015;32520;Банк ВТБ;Банки;NaN;1;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;32537;Сбербанк России;Банки;1;NaN;0;NaN;NaN;NaN;NaN
01-Jul-2015;100011;ЕвразийскийБанкРазвит;Банки;NaN;0;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;5435949;Александровский Банк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;5437279;Энергомашбанк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;5838400;Морской банк;Банки;9;NaN;NaN;2;4;NaN;NaN
01-Jul-2015;9105019;Социнвестбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2
01-Jul-2015;9107126;Финансовый стандарт КБ;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9108414;МеталлургКомБанк;Банки;7;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;9108437;НовыйПромышлБанк;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9109307;Владбизнесбанк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9116299;Радиотехбанк НКБ;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9116419;О.К. Банк;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9116810;Ассоциация КБ;Банки;NaN;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;9123046;Акция АКБ;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9139030;Совкомбанк;Банки;NaN;6;5;NaN;NaN;3;NaN
01-Jul-2015;9141558;МТИ-Банк;Банки;NaN;NaN;NaN;NaN;NaN;14;NaN
01-Jul-2015;9143037;ГАЗТРАНСБАНК;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9143050;Новация АКБ;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9144918;Енисей АКБ;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9155046;Курскпромбанк;Банки;NaN;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;9156011;Липецккомбанк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9185544;Проинвестбанк АКБ;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9188382;МПСБ КБ;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9224343;Банк Левобережный;Банки;NaN;NaN;6;1;NaN;NaN;NaN
01-Jul-2015;9227873;Плюс Банк;Банки;NaN;NaN;NaN;NaN;7;NaN;NaN
01-Jul-2015;9227917;СИБЭС Банк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9231468;Русский Трастовый Банк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3
01-Jul-2015;9233102;Заубер Банк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9241018;Дальневосточный банк;Банки;5;NaN;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;9246045;ДОНКОМБАНК;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9251146;ОРБАНК;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9251548;Промсельхозбанк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9253174;Уральский МежрегионБанк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9253317;Первоуральскбанк;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9253642;Уралтрансбанк;Банки;NaN;NaN;12;NaN;NaN;NaN;NaN
01-Jul-2015;9263511;Тамбовкредитпромбанк АКБ;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9264195;Народный банк РТ;Банки;NaN;NaN;NaN;4;NaN;NaN;NaN
01-Jul-2015;9265013;Татсоцбанк;Банки;NaN;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;9265198;ТАТАГРОПРОМБАНК;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9265467;Автоградбанк;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9265674;Заречье АКБ;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9265763;Анкор Банк;Банки;NaN;NaN;NaN;3;NaN;NaN;NaN
01-Jul-2015;9265941;Энергобанк АКБ;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9265964;Камский КБ;Банки;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;9265987;Банк Аверс;Банки;NaN;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;9268282;Запсибкомбанк;Банки;NaN;5;NaN;1;NaN;NaN;NaN
