date;entity_id;entity;sector;MDS_Corp;SP_Corp;FCH_Corp;EXP_Corp;NRA_Corp;RUS_Corp;AKM_Corp
01-Jul-2015;39746;Росгосстрах;Страхование;NaN;3;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;40778;Газпром;Нефтегазовый;NaN;NaN;0;NaN;NaN;NaN;NaN
01-Jul-2015;44434;ЛУКОЙЛ НК;Нефтегазовый;NaN;0;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;44463;Транснефть АК;Нефтегазовый;1;NaN;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;83262;РЖД;Транспорт;1;0;0;NaN;NaN;NaN;NaN
01-Jul-2015;102798;Мосэнерго (ТГК-3);Электроэнергетика;NaN;2;2;NaN;NaN;NaN;NaN
01-Jul-2015;107131;Ленэнерго;Электроэнергетика;2;NaN;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;110496;Мосэлектрощит;Электроэнергетика;NaN;NaN;NaN;NaN;6;NaN;NaN
01-Jul-2015;135645;Башнефть;Нефтегазовый;1;NaN;3;NaN;NaN;NaN;NaN
01-Jul-2015;136352;Татнефть;Нефтегазовый;1;NaN;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;153815;ЯТЭК;Нефтегазовый;NaN;NaN;10;NaN;NaN;NaN;NaN
01-Jul-2015;161878;Якутуголь ХК;Нефтегазовый;NaN;NaN;NaN;NaN;NaN;NaN;4
01-Jul-2015;186217;Северсталь;Металлургический;NaN;1;2;NaN;NaN;NaN;NaN
01-Jul-2015;186424;ММК;Металлургический;3;NaN;2;NaN;NaN;NaN;NaN
01-Jul-2015;186447;Ашинский МетЗд;Металлургический;NaN;NaN;NaN;NaN;6;NaN;NaN
01-Jul-2015;186683;Кокс Кемерово;Металлургический;7;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;203789;Акрон;Химпром, минудобрения;4;NaN;5;NaN;NaN;NaN;NaN
01-Jul-2015;203944;Уралкалий;Химпром, минудобрения;1;1;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;205311;Куйбышевазот;Химпром, минудобрения;NaN;NaN;NaN;NaN;NaN;NaN;0
01-Jul-2015;206486;Минудобрения Россошь;Химпром, минудобрения;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;210571;Уралмашзавод;Машиностроение;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;217320;Уралхиммаш;Машиностроение;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;231515;КАМАЗ;Автомобили и запчасти;3;NaN;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;279195;Архангельский ЦБК;Леспром, бумага;NaN;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;341907;Нарзан;Пищевая промышленность и с/х;NaN;NaN;NaN;1;NaN;NaN;NaN
01-Jul-2015;465489;КрЭВРЗ;Машиностроение;NaN;NaN;NaN;NaN;5;NaN;NaN
01-Jul-2015;467146;Стройтрансгаз;Строительство;NaN;NaN;NaN;NaN;NaN;NaN;3
01-Jul-2015;562732;Заречье им. Кушнарева;Строительство;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;572044;Черноерковское;Пищевая промышленность и с/х;NaN;NaN;NaN;NaN;5;NaN;NaN
01-Jul-2015;572742;Цимлянский;Пищевая промышленность и с/х;NaN;NaN;NaN;NaN;5;NaN;NaN
01-Jul-2015;1125844;Туапсинский МТП;Транспорт;NaN;NaN;NaN;NaN;4;NaN;NaN
01-Jul-2015;1125867;НМТП;Транспорт;3;3;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;1125991;ДВМП;Транспорт;NaN;NaN;12;NaN;NaN;NaN;NaN
01-Jul-2015;1126163;Порт Ванино;Транспорт;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;1126217;Сахалинское МорПар-во;Транспорт;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;1126989;Совкомфлот;Транспорт;5;1;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;1130489;ЮТЭйр АвиаКомп;Транспорт;NaN;NaN;NaN;8;NaN;NaN;NaN
01-Jul-2015;1266527;Салмо;Лёгкая промышленность;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;1388331;Ленгипротранс;Технологии;NaN;NaN;NaN;NaN;5;NaN;NaN
01-Jul-2015;1860957;Балтийский лизинг ОАО;Финанс.сервисы;NaN;NaN;6;NaN;NaN;NaN;NaN
01-Jul-2015;2250942;Ингосстрах;Страхование;NaN;1;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;2573444;Гостиница Белград;Путешествия. досуг;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;3250016;Краснодаргоргаз;Нефтегазовый;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;3323809;Водоканал С-Пб ГУП;ЖКХ;2;2;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;3324418;Мосводоканал;ЖКХ;NaN;1;NaN;NaN;NaN;NaN;NaN
01-Jul-2015;5016520;Серебрянский Цемент Завод;Строительство;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;5019458;Распадская;Горнодобыча;7;NaN;5;NaN;NaN;NaN;NaN
01-Jul-2015;5020177;Якутуглестрой;Строительство;NaN;NaN;NaN;2;NaN;NaN;NaN
01-Jul-2015;5030856;Силовые Машины;Машиностроение;2;NaN;NaN;NaN;NaN;NaN;NaN
