date;entity;sector;MDSCIsc;MDSCNsc;SPIsc;SPNsc;FCHIsc;FCHNsc;EXPC;NRAC;RUSCIsc;RUSCNsc;AKMC
733590;Газпром;Нефтегазовый;6;NaN;8;NaN;8;NaN;NaN;NaN;NaN;NaN;NaN
733590;Роснефть НК;Нефтегазовый;7;NaN;9;NaN;9;NaN;NaN;NaN;NaN;NaN;NaN
733590;ЛУКОЙЛ НК;Нефтегазовый;8;NaN;9;1;9;NaN;NaN;NaN;NaN;NaN;NaN
733590;ЮКОС НК, ОАО;Нефтегазовый;NaN;NaN;23;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Транснефть АК;Нефтегазовый;5;0;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Транснефтепродукт АК;Нефтегазовый;NaN;NaN;12;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;РЖД;Транспорт;6;0;7;0;7;0;NaN;NaN;NaN;NaN;NaN
733590;Мосэнерго (ТГК-3);Электроэнергетика;NaN;NaN;11;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Татэнерго;Электроэнергетика;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
733590;Иркутскэнерго;Электроэнергетика;13;4;13;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Кузбассэнерго (ТГК-12);Электроэнергетика;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3
733590;Татнефть;Нефтегазовый;NaN;NaN;NaN;NaN;13;NaN;NaN;NaN;NaN;NaN;2
733590;Северсталь;Металлургический;12;NaN;11;2;11;3;NaN;NaN;NaN;NaN;NaN
733590;ММК;Металлургический;12;2;11;2;11;NaN;NaN;NaN;NaN;NaN;NaN
733590;ЧТПЗ;Металлургический;13;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
