date;entity;sector;MDSBIsc;MDSBNsc;SPIsc;SPNsc;FCHIsc;FCHNsc;EXPB;NRAB;RUSBIsc;RUSBNsc;AKMB
733590;Внешэкономбанк;Банки;8;NaN;6;NaN;7;NaN;NaN;NaN;NaN;NaN;NaN
733590;Банк ВТБ;Банки;4;NaN;7;0;7;0;NaN;NaN;NaN;NaN;NaN
733590;Сбербанк России;Банки;4;0;NaN;NaN;7;NaN;NaN;NaN;NaN;NaN;NaN
733590;ЕвразийскийБанкРазвит;Банки;NaN;NaN;7;0;7;NaN;NaN;NaN;NaN;NaN;NaN
733590;Стройкредит КБ;Банки;15;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Совкомбанк;Банки;NaN;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Енисей АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;4;NaN;NaN;NaN;NaN
733590;Курскпромбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4
733590;Дальневосточный банк;Банки;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Уралтрансбанк;Банки;NaN;NaN;NaN;NaN;15;10;NaN;NaN;NaN;NaN;NaN
733590;Автоградбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
733590;БТА-Казань (ОАО), АКБ;Банки;NaN;NaN;NaN;NaN;14;7;NaN;NaN;NaN;NaN;NaN
733590;Энергобанк АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
733590;Запсибкомбанк;Банки;NaN;NaN;14;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Ижкомбанк АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3
733590;Азиатско-ТихоокеанскБанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
733590;Связь-Банк АКБ;Банки;14;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;СДМ-Банк КБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;13;NaN;NaN
733590;Петрокоммерц КБ;Банки;12;3;13;4;NaN;NaN;1;0;10;NaN;NaN
733590;Сургутнефтегазбанк;Банки;NaN;NaN;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;БАНК РСБ 24;Банки;15;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Московский Кредитный Банк;Банки;13;4;NaN;NaN;14;9;NaN;NaN;NaN;NaN;NaN
733590;СКБ-Банк;Банки;14;6;NaN;NaN;15;NaN;NaN;NaN;13;NaN;NaN
733590;Собинбанк АБ;Банки;15;8;NaN;NaN;NaN;NaN;NaN;NaN;12;NaN;NaN
733590;Альфа-Банк;Банки;10;NaN;11;2;11;3;NaN;0;NaN;NaN;NaN
733590;Еврофинанс Моснарбанк АКБ;Банки;12;3;NaN;NaN;14;8;NaN;NaN;NaN;NaN;NaN
733590;Банк Возрождение;Банки;12;3;NaN;NaN;NaN;NaN;NaN;NaN;12;NaN;NaN
733590;Банк ВТБ Северо-Запад;Банки;5;0;NaN;NaN;7;NaN;NaN;NaN;NaN;NaN;NaN
733590;Челиндбанк АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12;NaN;NaN
733590;АБ Финанс КБ;Банки;15;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;МДМ Банк;Банки;12;NaN;NaN;NaN;14;NaN;NaN;NaN;10;NaN;NaN
733590;Банк Российский Кредит;Банки;16;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Россия АБ;Банки;NaN;NaN;NaN;NaN;15;12;NaN;NaN;NaN;NaN;NaN
733590;Kazkommerts Int;Банки;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;СЛАВЯНСКИЙ БАНК, АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;8;NaN;NaN;NaN
733590;Банк Санкт-Петербург;Банки;12;NaN;NaN;NaN;13;NaN;NaN;NaN;NaN;NaN;NaN
733590;Банк АВБ;Банки;16;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Конверсбанк;Банки;NaN;NaN;NaN;NaN;17;13;NaN;NaN;NaN;NaN;NaN
733590;Балтийский Банк;Банки;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;МБСПб;Банки;NaN;NaN;15;9;15;11;NaN;NaN;14;NaN;NaN
733590;Далькомбанк;Банки;NaN;NaN;NaN;NaN;13;6;NaN;NaN;NaN;NaN;NaN
733590;ЦентроКредит АКБ;Банки;15;8;15;9;15;11;NaN;NaN;NaN;NaN;NaN
733590;ЮниКредит Банк;Банки;NaN;NaN;8;NaN;6;NaN;NaN;NaN;NaN;NaN;NaN
733590;ГУТА-БАНК;Банки;16;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Урал ФД АКБ;Банки;15;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Банк ГПБ;Банки;6;0;9;1;NaN;NaN;0;NaN;8;NaN;NaN
733590;ХКФ Банк;Банки;12;3;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;УБРиР;Банки;15;8;15;8;NaN;NaN;NaN;8;15;NaN;NaN
733590;КЕДР КБ;Банки;14;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Восточный Экспресс КБ;Банки;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Саровбизнесбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;15;NaN;NaN
733590;НБД-Банк;Банки;14;6;NaN;NaN;NaN;NaN;NaN;NaN;12;NaN;NaN
733590;Русфинанс Банк;Банки;8;0;10;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Донской народный банк;Банки;NaN;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;ХМБ Открытие;Банки;NaN;NaN;12;3;NaN;NaN;NaN;NaN;13;NaN;NaN
733590;Спурт АКБ;Банки;NaN;NaN;NaN;NaN;15;NaN;NaN;NaN;NaN;NaN;NaN
733590;Ак Барс АКБ;Банки;11;2;NaN;NaN;11;3;NaN;NaN;11;NaN;NaN
733590;Акибанк;Банки;NaN;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;РосДорБанк;Банки;15;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;АФ Банк, ОАО;Банки;NaN;NaN;NaN;NaN;NaN;NaN;4;NaN;NaN;NaN;NaN
733590;Альба-Альянс КБ;Банки;15;8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Первый РеспубликанБанк;Банки;15;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;МеждународПромБанк;Банки;13;NaN;12;NaN;14;8;NaN;4;NaN;NaN;NaN
733590;Пересвет АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
733590;Мастер-Банк;Банки;NaN;NaN;NaN;NaN;14;NaN;NaN;NaN;NaN;NaN;NaN
733590;МТС-Банк;Банки;13;NaN;NaN;NaN;13;6;NaN;3;14;NaN;NaN
733590;РОСБАНК;Банки;9;2;10;1;6;0;NaN;NaN;8;NaN;NaN
733590;Русский Стандарт Банк;Банки;11;2;12;3;12;NaN;NaN;NaN;14;NaN;NaN
733590;Российский Капитал АКБ;Банки;NaN;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;Банк ФК Открытие;Банки;12;3;NaN;NaN;13;6;NaN;NaN;9;NaN;NaN
733590;Банк ПроектФинансиров;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
733590;Абсолют Банк;Банки;9;0;NaN;NaN;6;0;NaN;NaN;NaN;NaN;NaN
733590;ТрансКредитБанк;Банки;10;1;11;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
733590;МДМ-Банк;Банки;10;NaN;11;NaN;11;3;NaN;NaN;7;NaN;NaN
