date;entity;sector;MDSBIsc;MDSBNsc;SPIsc;SPNsc;FCHIsc;FCHNsc;EXPBNsc;NRABNsc;RUSBIsc;RUSBNsc;AKMBNSc
736238;Внешэкономбанк;Банки;NaN;NaN;9;NaN;9;0;NaN;NaN;NaN;NaN;NaN
736238;МИБ;Банки;NaN;NaN;NaN;NaN;9;NaN;NaN;NaN;NaN;NaN;NaN
736238;Банк ВТБ;Банки;10;NaN;10;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Сбербанк России;Банки;10;1;NaN;NaN;9;0;NaN;NaN;NaN;NaN;NaN
736238;Укрсоцбанк АКБ;Банки;NaN;NaN;NaN;NaN;15;NaN;NaN;NaN;NaN;NaN;NaN
736238;ЕвразийскийБанкРазвит;Банки;NaN;NaN;8;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Александровский Банк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Энергомашбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Морской банк;Банки;15;9;NaN;NaN;NaN;NaN;NaN;4;NaN;NaN;NaN
736238;Социнвестбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7
736238;Финансовый стандарт КБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;МеталлургКомБанк;Банки;14;7;NaN;NaN;NaN;NaN;1;NaN;NaN;NaN;NaN
736238;НовыйПромышлБанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;Владбизнесбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Радиотехбанк НКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;О.К. Банк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;11;NaN
736238;Ассоциация КБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;1;NaN;NaN;NaN;NaN
736238;Акция АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;БайкалИнвестБанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;Совкомбанк;Банки;NaN;NaN;14;6;13;5;NaN;NaN;8;2;NaN
736238;МТИ-Банк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;14;NaN
736238;ГАЗТРАНСБАНК;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Новация АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;Енисей АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;Курскпромбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;1;NaN;NaN;NaN;NaN
736238;Липецккомбанк;Банки;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Проинвестбанк АКБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;МПСБ КБ;Банки;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
