date;entity;sector;MDSCIsc;MDSCNsc;SPIsc;SPNsc;FCHIsc;FCHNsc;EXPCNsc;NRACNsc;RUSCIsc;RUSCNsc;AKMCNsc
736238;Росгосстрах;Страхование;NaN;NaN;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Газпром;Нефтегазовый;10;NaN;9;NaN;9;0;NaN;NaN;NaN;NaN;NaN
736238;Роснефть НК;Нефтегазовый;10;NaN;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;ЛУКОЙЛ НК;Нефтегазовый;10;NaN;9;0;9;NaN;NaN;NaN;NaN;NaN;NaN
736238;Транснефть АК;Нефтегазовый;10;1;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;РЖД;Транспорт;10;1;9;0;9;0;NaN;NaN;NaN;NaN;NaN
736238;Мосэнерго (ТГК-3);Электроэнергетика;NaN;NaN;11;2;10;2;NaN;NaN;NaN;NaN;NaN
736238;Ленэнерго;Электроэнергетика;11;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Башнефть;Нефтегазовый;10;1;NaN;NaN;11;3;NaN;NaN;NaN;NaN;NaN
736238;Татнефть;Нефтегазовый;10;1;NaN;NaN;9;NaN;NaN;NaN;NaN;NaN;NaN
736238;Северсталь;Металлургический;10;NaN;10;1;10;2;NaN;NaN;NaN;NaN;NaN
736238;ММК;Металлургический;12;3;NaN;NaN;10;2;NaN;NaN;NaN;NaN;NaN
736238;Ашинский МетЗд;Металлургический;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6;NaN;NaN;NaN
736238;Кокс Кемерово;Металлургический;14;7;14;NaN;NaN;NaN;1;NaN;NaN;NaN;NaN
736238;Казаньоргсинтез;Химпром, минудобрения;NaN;NaN;NaN;NaN;15;NaN;NaN;NaN;NaN;NaN;NaN
736238;Акрон;Химпром, минудобрения;13;4;NaN;NaN;12;4;NaN;NaN;NaN;NaN;NaN
736238;Уралкалий;Химпром, минудобрения;10;1;11;2;10;NaN;NaN;NaN;NaN;NaN;NaN
736238;Куйбышевазот;Химпром, минудобрения;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
736238;Минудобрения Россошь;Химпром, минудобрения;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Уралмашзавод;Машиностроение;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Уралхиммаш;Машиностроение;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;КАМАЗ;Автомобили и запчасти;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Архангельский ЦБК;Леспром, бумага;NaN;NaN;NaN;NaN;NaN;NaN;1;NaN;NaN;NaN;NaN
736238;КрЭВРЗ;Машиностроение;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;Заречье им. Кушнарева;Строительство;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Черноерковское;Пищевая промышленность и с/х;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;Цимлянский;Пищевая промышленность и с/х;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;Туапсинский МТП;Транспорт;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;NaN;NaN;NaN
736238;НМТП;Транспорт;12;3;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;ДВМП;Транспорт;NaN;NaN;15;NaN;15;12;NaN;NaN;NaN;NaN;NaN
736238;Порт Ванино;Транспорт;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Сахалинское МорПар-во;Транспорт;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Совкомфлот;Транспорт;13;5;10;1;12;NaN;NaN;NaN;NaN;NaN;NaN
736238;Салмо;Лёгкая промышленность;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Ленгипротранс;Технологии;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;Балтийский лизинг ОАО;Финанс.сервисы;NaN;NaN;NaN;NaN;13;6;NaN;NaN;NaN;NaN;NaN
736238;Ингосстрах;Страхование;NaN;NaN;10;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Гостиница Белград;Путешествия. досуг;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Краснодаргоргаз;Нефтегазовый;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Водоканал С-Пб ГУП;ЖКХ;11;2;11;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Мосводоканал;ЖКХ;NaN;NaN;10;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Серебрянский Цемент Завод;Строительство;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Распадская;Горнодобыча;14;7;NaN;NaN;13;5;NaN;NaN;NaN;NaN;NaN
736238;Якутуглестрой;Строительство;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Силовые Машины;Машиностроение;11;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Лихоборский автосервис;Автомобили и запчасти;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11;8;NaN
736238;Сетевая Компания;;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN
736238;ГАЗ;Автомобили и запчасти;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;НЛМК;Металлургический;10;1;10;1;9;1;NaN;NaN;NaN;NaN;NaN
736238;Газпром нефтехим Салават;Химпром, минудобрения;NaN;NaN;NaN;NaN;NaN;NaN;1;NaN;NaN;NaN;NaN
736238;Нижнекамскнефтехим;Химпром, минудобрения;12;3;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;РУСАЛ Братск;Металлургический;NaN;NaN;NaN;NaN;13;NaN;1;NaN;NaN;NaN;NaN
736238;АС АМУР;Металлургический;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;Иркут НПК;Машиностроение;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;УОМЗ ПО;Машиностроение;NaN;NaN;15;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
736238;Плутон;Машиностроение;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;250 ЗЖБИ;Строительство;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;NaN;NaN;NaN
736238;Торговый дом ЦВУП;Недвижимость;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;ТЭПК;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2
736238;Союз Святого Иоанна Воина;Ритейл;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Плаза;Путешествия. досуг;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
736238;Конданефть НК;Нефтегазовый;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;СПЕЦ;Строительство;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
736238;Междуречье;Горнодобыча;NaN;NaN;NaN;NaN;NaN;NaN;3;NaN;NaN;NaN;NaN
736238;Группа ЛСР;Строительство;14;7;NaN;NaN;14;NaN;NaN;NaN;NaN;NaN;NaN
736238;Артсистемстрой;Прочие;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;13;10;NaN
