MDSBIsc,MDSBNsc,SPIIsc,SPINsc,FCHIIsc,FCHINsc,EXPBNsc,NRABNsc,RUSBIsc,RUSBNsc,AKMBNsc,date,ent_id,entity,sector
,,,,,,0,,,,,01.10.2015,-4003,ABLV Bank,Банки
,,,,,,0,,,,,01.07.2015,-4003,ABLV Bank,Банки
,,,,,,0,,,,,01.04.2015,-4003,ABLV Bank,Банки
,,,,,,0,,,,,01.01.2015,-4003,ABLV Bank,Банки
,,,,,,2,,,,,01.01.2016,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.10.2015,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.07.2015,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.04.2015,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.01.2015,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.10.2014,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.07.2014,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.04.2014,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.01.2014,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.10.2013,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,2,,,,,01.07.2013,-4002,Дочерний банк «Садерат» Ирана в г. Ташкенте,Банки
,,,,,,1,,,,,01.01.2016,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.10.2015,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.07.2015,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.04.2015,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.01.2015,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.10.2014,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.07.2014,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.04.2014,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.01.2014,-4001,Банк БелВЭБ,Банки
,,,,,,1,,,,,01.10.2013,-4001,Банк БелВЭБ,Банки
,,7,,8,,,,,,,01.07.2012,5061,Внешэкономбанк,Банки
,,7,,8,,,,,,,01.10.2012,5061,Внешэкономбанк,Банки
,,7,,8,,,,,,,01.01.2013,5061,Внешэкономбанк,Банки
,,7,,8,,,,,,,01.04.2013,5061,Внешэкономбанк,Банки
,,7,,8,,,,,,,01.07.2013,5061,Внешэкономбанк,Банки
,,7,,8,,,,,,,01.10.2013,5061,Внешэкономбанк,Банки
,,7,,8,,,,,,,01.01.2014,5061,Внешэкономбанк,Банки
,,7,,8,0,,,,,,01.04.2014,5061,Внешэкономбанк,Банки
,,8,,8,0,,,,,,01.07.2014,5061,Внешэкономбанк,Банки
,,8,,8,0,,,,,,01.10.2014,5061,Внешэкономбанк,Банки
,,8,,8,0,,,,,,01.01.2015,5061,Внешэкономбанк,Банки
,,9,,9,0,,,,,,01.04.2015,5061,Внешэкономбанк,Банки
,,9,,9,0,,,,,,01.07.2015,5061,Внешэкономбанк,Банки
,,9,,9,0,,,,,,01.10.2015,5061,Внешэкономбанк,Банки
,,,,9,,,,,,,01.01.2014,5919,МИБ,Банки
,,,,9,,,,,,,01.04.2014,5919,МИБ,Банки
,,,,9,,,,,,,01.07.2014,5919,МИБ,Банки
,,,,9,,,,,,,01.10.2014,5919,МИБ,Банки
,,,,9,,,,,,,01.01.2015,5919,МИБ,Банки
,,,,9,,,,,,,01.04.2015,5919,МИБ,Банки
,,,,9,,,,,,,01.07.2015,5919,МИБ,Банки
,,,,9,,,,,,,01.10.2015,5919,МИБ,Банки
7,,8,0,8,0,,,,,,01.07.2012,32520,Банк ВТБ,Банки
7,,8,0,8,0,,,,,,01.10.2012,32520,Банк ВТБ,Банки
7,,8,0,8,0,,,,,,01.01.2013,32520,Банк ВТБ,Банки
7,,8,0,8,0,,,,,,01.04.2013,32520,Банк ВТБ,Банки
7,,8,0,8,0,,,,,,01.07.2013,32520,Банк ВТБ,Банки
8,,8,0,8,0,,,,,,01.10.2013,32520,Банк ВТБ,Банки
8,,8,0,8,0,,,,,,01.01.2014,32520,Банк ВТБ,Банки
8,,8,0,,,,,,,,01.04.2014,32520,Банк ВТБ,Банки
8,,9,0,,,,,,,,01.07.2014,32520,Банк ВТБ,Банки
8,,9,0,,,,,,,,01.10.2014,32520,Банк ВТБ,Банки
9,,9,0,,,,,,,,01.01.2015,32520,Банк ВТБ,Банки
10,,10,1,,,,,,,,01.04.2015,32520,Банк ВТБ,Банки
10,,10,1,,,,,,,,01.07.2015,32520,Банк ВТБ,Банки
10,,10,1,,,,,,,,01.10.2015,32520,Банк ВТБ,Банки
6,0,,,8,,,,,,,01.07.2012,32537,Сбербанк России,Банки
6,0,,,8,,,,,,,01.10.2012,32537,Сбербанк России,Банки
6,0,,,8,,,,,,,01.01.2013,32537,Сбербанк России,Банки
6,0,,,8,0,,,,,,01.04.2013,32537,Сбербанк России,Банки
6,0,,,8,0,,,,,,01.07.2013,32537,Сбербанк России,Банки
7,0,,,8,0,,,,,,01.10.2013,32537,Сбербанк России,Банки
7,0,,,8,0,,,,,,01.01.2014,32537,Сбербанк России,Банки
7,0,,,8,0,,,,,,01.04.2014,32537,Сбербанк России,Банки
7,0,,,8,0,,,,,,01.07.2014,32537,Сбербанк России,Банки
7,0,,,8,0,,,,,,01.10.2014,32537,Сбербанк России,Банки
8,0,,,8,0,,,,,,01.01.2015,32537,Сбербанк России,Банки
