grade;grade_id;grade_dgr;grade_dgr_id;rough;rough_id
AAA(rus);0;AAA(rus);0;AAA(rus);0
AA+(rus);1;AA+(rus);1;AA(rus);1
AA(rus);2;AA(rus);2;AA(rus);1
AA-(rus);3;AA-(rus);3;AA(rus);1
A+(rus);4;A+(rus);4;A(rus);2
A(rus);5;A(rus);5;A(rus);2
A-(rus);6;A-(rus);6;A(rus);2
BBB+(rus);7;BBB+(rus);7;BBB(rus);3
BBB(rus);8;BBB(rus);8;BBB(rus);3
BBB-(rus);9;BBB-(rus);9;BBB(rus);3
BB+(rus);10;BB+(rus);10;BB(rus);4
BB(rus);11;BB(rus);11;BB(rus);4
BB-(rus);12;BB-(rus);12;BB(rus);4
B+(rus);13;B+(rus);13;B(rus);5
B(rus);14;B(rus);14;B(rus);5
B-(rus);15;B-(rus);15;B(rus);5
CCC+(rus);16;CCC+(rus);16;CCC(rus);6
CCC(rus);17;CCC(rus);17;CCC(rus);6
CCC-(rus);18;CCC-(rus);18;CCC(rus);6
CC(rus);19;CC(rus);19;CC(rus);7
C(rus);20;C(rus);20;C(rus);8
RD(rus);21;D(rus);21;D(rus);9
D(rus);22;D(rus);21;D(rus);9
Снят;999;Снят;999;Снят;999
Приостановлен;888;Приостановлен;888;Приостановлен;888
