grade;grade_id;grade_dgr;grade_dgr_id;rough;rough_id
Aaa.ru;0;Aaa.ru;0;Aaa.ru;0
Aa1.ru;1;Aa1.ru;1;Aa.ru;1
Aa2.ru;2;Aa2.ru;2;Aa.ru;1
Aa3.ru;3;Aa3.ru;3;Aa.ru;1
A1.ru;4;A1.ru;4;A.ru;2
A2.ru;5;A2.ru;5;A.ru;2
A3.ru;6;A3.ru;6;A.ru;2
Baa1.ru;7;Baa1.ru;7;Baa.ru;3
Baa2.ru;8;Baa2.ru;8;Baa.ru;3
Baa3.ru;9;Baa3.ru;9;Baa.ru;3
Ba1.ru;10;Ba1.ru;10;Ba.ru;4
Ba2.ru;11;Ba2.ru;11;Ba.ru;4
Ba3.ru;12;Ba3.ru;12;Ba.ru;4
B1.ru;13;B1.ru;13;B.ru;5
B2.ru;14;B2.ru;14;B.ru;5
B3.ru;15;B3.ru;15;B.ru;5
Caa1.ru;16;Caa1.ru;16;Caa.ru;6
Caa2.ru;17;Caa2.ru;17;Caa.ru;6
Caa3.ru;18;Caa3.ru;18;Caa.ru;6
Ca.ru;19;Ca.ru;19;Ca.ru;7
C.ru;20;C.ru;20;C.ru;8
Снят;999;Снят;999;Снят;999
Приостановлен;888;Приостановлен;888;Приостановлен;888
