grade;grade_id;grade_dgr;grade_dgr_id;rough;rough_id
iAAA;0;iAAA;0;iAAA;0
iАА+;1;iАА+;1;iАА;1
iАА;2;iАА;2;iАА;1
iAA-;3;iAA-;3;iАА;1
iA+;4;iA+;4;iA;2
iA;5;iA;5;iA;2
iA-;6;iA-;6;iA;2
iBBB+;7;iBBB+;7;iBBB;3
iBBB;8;iBBB;8;iBBB;3
iBBB-;9;iBBB-;9;iBBB;3
iBB+;10;iBB+;10;iBB;4
iBB;11;iBB;11;iBB;4
iBB-;12;iBB-;12;iBB;4
iB+;13;iB+;13;iB;5
iB;14;iB;14;iB;5
iB-;15;iB-;15;iB;5
iСCC+;16;iСCC+;16;iCСC;6
iCСC;17;iCСC;17;iCСC;6
iCСC-;18;iCСC-;18;iCСC;6
iCC;19;iCC;19;iCC;7
iC;20;iC;20;iC;8
iSD;21;iD;21;iD;9
iD;22;iD;21;iD;9
Приостановлен;888;Приостановлен;888;Приостановлен;888
Снят;999;Снят;999;Снят;999
