grade;grade_id;grade_dgr;grade_dgr_id;rough;rough_id
ruAAA;0;ruAAA;0;ruAAA;0
ruAA+;1;ruAA+;1;ruAA;1
ruAA;2;ruAA;2;ruAA;1
ruAA-;3;ruAA-;3;ruAA;1
ruA+;4;ruA+;4;ruA;2
ruA;5;ruA;5;ruA;2
ruA-;6;ruA-;6;ruA;2
ruBBB+;7;ruBBB+;7;ruBBB;3
ruBBB;8;ruBBB;8;ruBBB;3
ruBBB-;9;ruBBB-;9;ruBBB;3
ruBB+;10;ruBB+;10;ruBB;4
ruBB;11;ruBB;11;ruBB;4
ruBB-;12;ruBB-;12;ruBB;4
ruB+;13;ruB+;13;ruB;5
ruB;14;ruB;14;ruB;5
ruB-;15;ruB-;15;ruB;5
ruCCC+;16;ruCCC+;16;ruCCC;6
ruCCC;17;ruCCC;17;ruCCC;6
ruCCC-;18;ruCCC-;18;ruCCC;6
ruCC;19;ruCC;19;ruCC;7
ruC;20;ruC;20;ruC;8
ruR;21;ruD;21;ruD;9
ruSD;22;ruD;21;ruD;9
ruD;23;ruD;21;ruD;9
Снят;999;Снят;999;Снят;999
Приостановлен;888;Приостановлен;888;Приостановлен;888
